ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate,ts,iters_per_sec,perf_per_watt
2026-02-23T19:45:07+00:00,0,,,29,75.696,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:07+00:00,,
2026-02-23T19:45:08+00:00,0,,,29,75.707,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:08+00:00,,
2026-02-23T19:45:09+00:00,0,,,29,75.633,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:09+00:00,,
2026-02-23T19:45:10+00:00,0,,,29,75.683,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:10+00:00,,
2026-02-23T19:45:11+00:00,0,,,29,75.706,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:11+00:00,,
2026-02-23T19:45:12+00:00,0,,,29,75.666,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:12+00:00,,
2026-02-23T19:45:13+00:00,0,,,29,75.674,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:13+00:00,,
2026-02-23T19:45:14+00:00,0,,,29,75.718,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:14+00:00,,
2026-02-23T19:45:15+00:00,0,,,29,75.724,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:15+00:00,,
2026-02-23T19:45:16+00:00,0,,,29,75.718,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:16+00:00,,
2026-02-23T19:45:17+00:00,0,,,29,75.692,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:17+00:00,,
2026-02-23T19:45:18+00:00,0,,,29,75.768,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:18+00:00,,
2026-02-23T19:45:19+00:00,0,,,29,75.647,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:19+00:00,,
2026-02-23T19:45:20+00:00,0,,,29,75.668,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:20+00:00,,
2026-02-23T19:45:21+00:00,0,,,29,75.61,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:21+00:00,,
2026-02-23T19:45:22+00:00,0,,,29,75.645,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:22+00:00,,
2026-02-23T19:45:23+00:00,0,,,29,75.641,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:23+00:00,,
2026-02-23T19:45:24+00:00,0,,,29,75.705,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:24+00:00,,
2026-02-23T19:45:25+00:00,0,,,29,75.721,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:25+00:00,,
2026-02-23T19:45:26+00:00,0,,,29,75.699,700.0,0,0,345.0,3201,604.6875,143771.0,0,2026-02-23 19:45:26+00:00,,
